-18.48,29.28,-15.37,-6.05,-1.35,2.97
-18.21,26.20,-16.83,-5.49,-1.38,2.75
-18.86,24.31,-16.54,-4.49,-1.43,2.77
-19.90,21.66,-13.90,-3.31,-1.74,2.44
-20.04,20.30,-11.74,-2.44,-1.89,2.04
-20.97,17.27,-9.44,-2.09,-1.58,1.64
-21.67,13.76,-9.46,-2.26,-1.21,0.80
-20.56,12.07,-10.70,-2.12,-1.10,-0.14
-18.70,10.92,-11.47,-1.39,-1.22,-0.85
-16.82,9.76,-10.80,-0.35,-1.59,-1.28
-15.93,9.48,-8.65,0.53,-1.95,-1.62
-15.02,9.26,-5.86,1.07,-2.17,-2.13
-14.33,9.85,-3.62,1.28,-2.11,-2.76
-12.88,10.37,-1.38,1.49,-1.85,-3.48
-11.37,11.28,0.56,1.80,-1.35,-4.05
-9.32,12.50,2.92,2.08,-0.85,-4.60
-7.25,13.50,5.16,2.37,-0.61,-5.01
-5.68,13.95,7.29,2.63,-0.61,-5.41
-3.91,14.71,9.08,2.79,-0.70,-5.86
-1.94,15.10,10.41,2.96,-0.65,-6.29
-0.26,15.11,12.00,3.02,-0.40,-6.53
0.18,15.27,13.52,2.93,-0.07,-6.53
0.36,15.03,14.70,2.96,0.17,-6.76
1.27,15.21,15.22,3.05,0.36,-7.13
2.79,14.82,14.52,3.21,0.51,-7.31
4.16,14.92,14.22,3.64,0.60,-7.34
5.16,15.21,15.35,3.93,0.71,-7.22
5.40,15.32,16.39,3.87,0.81,-7.14
5.56,14.83,17.53,3.73,0.60,-7.45
6.81,15.65,17.06,3.48,0.11,-7.80
8.71,15.10,15.44,3.52,-0.16,-7.98
10.30,15.30,14.54,3.68,-0.11,-7.90
10.67,15.25,15.35,3.58,-0.12,-7.65
10.07,14.54,15.49,3.09,-0.53,-7.57
9.73,14.25,14.00,2.56,-1.16,-7.95
10.49,14.72,12.47,2.19,-1.51,-8.35
11.57,15.09,12.00,2.06,-1.73,-8.53
11.97,14.93,11.81,1.90,-2.01,-8.60
12.04,14.87,10.61,1.66,-2.06,-8.73
12.37,14.67,9.07,1.40,-2.02,-8.73
12.30,14.59,7.43,1.14,-2.12,-8.73
12.58,15.06,6.45,1.02,-2.33,-8.73
12.65,15.04,6.69,0.96,-2.64,-8.73
12.40,15.47,7.67,0.57,-2.91,-8.73
12.15,15.44,7.71,0.04,-3.12,-8.73
12.76,15.79,6.36,-0.52,-3.03,-8.73
14.20,16.00,3.91,-0.83,-1.93,-8.73
16.13,15.38,3.03,-0.57,0.11,-8.01
16.47,13.97,3.36,-0.03,1.63,-6.69
15.24,13.29,4.59,0.53,2.60,-5.56
13.42,12.62,5.75,0.86,2.91,-4.97
11.90,11.87,6.17,1.00,2.82,-4.86
11.55,11.13,6.61,1.31,2.36,-5.16
12.29,10.56,7.61,1.81,1.43,-5.58
12.96,9.76,7.92,2.29,0.38,-5.83
13.46,9.07,8.18,2.76,-0.29,-5.80
13.57,8.37,9.55,2.94,-0.14,-5.55
13.48,7.57,11.57,2.83,0.71,-5.09
12.93,6.83,14.16,2.56,2.03,-4.42
12.64,6.00,17.31,2.42,3.34,-3.83
12.38,5.99,20.52,2.47,4.32,-3.46
12.89,5.56,23.52,2.52,4.88,-3.15
13.20,6.73,25.88,2.51,4.99,-2.78
13.81,7.35,28.61,2.13,4.67,-2.52
14.92,7.76,30.53,0.94,3.60,-2.67
19.95,6.66,29.55,-0.39,1.70,-3.17
28.66,6.18,28.82,-1.48,-0.40,-3.43
36.83,5.29,23.68,-2.19,-3.37,-2.84
36.08,11.71,18.37,-1.68,-2.66,0.84
28.15,13.13,22.53,-1.30,2.73,3.98
24.40,15.50,29.38,-2.14,6.48,4.33
22.89,19.71,35.73,-4.18,6.64,4.19
22.36,25.46,32.89,-5.68,5.48,4.32
21.60,31.12,28.55,-6.10,5.13,4.48
22.62,37.37,27.38,-5.89,5.51,4.49
23.09,44.76,29.77,-6.45,6.48,4.89
22.20,49.83,31.98,-7.77,7.50,5.10
19.88,55.77,32.98,-8.73,7.99,5.00
18.17,60.55,29.67,-8.73,7.23,4.60
18.28,66.37,26.05,-8.73,6.29,4.03
19.10,72.17,22.99,-8.73,4.98,3.62
17.52,78.45,24.44,-8.73,3.82,3.81
12.78,78.45,25.21,-8.73,3.35,4.14
9.57,78.45,25.28,-8.73,4.32,3.56
10.40,78.45,22.64,-8.73,6.82,3.16
15.48,78.45,13.58,-8.73,8.73,2.00
18.73,78.45,-3.34,-8.73,8.73,1.22
24.24,78.45,-17.10,-8.73,5.38,0.22
20.87,69.16,-15.00,-8.73,0.54,0.51
9.74,60.54,-1.50,-7.50,0.22,1.65
2.71,56.56,6.22,-7.94,1.49,1.34
5.65,58.43,3.84,-8.73,1.95,0.23
8.86,58.87,-6.46,-8.73,1.94,0.23
10.34,56.09,-19.43,-8.73,0.49,0.46
7.46,49.82,-24.80,-8.73,-0.73,1.52
1.77,44.54,-19.72,-8.28,-1.81,1.85
-0.38,42.08,-15.66,-7.34,-2.01,2.04
-3.36,39.79,-10.67,-6.73,-1.50,2.60
-7.64,38.64,-10.19,-7.68,-0.67,2.74
-9.43,34.22,-12.70,-8.30,-0.38,2.05
-9.59,33.79,-15.24,-7.48,-0.54,1.62
-10.05,29.19,-14.57,-6.02,-0.94,1.51
-9.88,25.83,-12.83,-4.83,-1.53,1.31
-9.36,23.55,-11.36,-3.95,-1.97,1.33
-10.49,20.41,-10.67,-3.76,-1.76,1.66
-12.53,18.64,-10.65,-4.11,-1.56,1.85
-15.28,16.46,-11.34,-4.23,-1.59,1.40
-14.82,14.73,-12.34,-3.82,-1.97,0.34
-13.63,13.62,-12.45,-3.05,-1.93,-0.03
-12.97,11.78,-11.37,-2.01,-1.87,0.01
-12.99,10.19,-9.17,-1.09,-2.07,0.06
-13.33,8.81,-6.89,-0.50,-2.39,-0.07
-14.01,8.21,-5.02,-0.21,-2.50,-0.36
-14.28,7.47,-3.45,-0.10,-2.43,-0.86
-13.84,7.02,-2.73,-0.04,-2.27,-1.40
-12.67,7.02,-2.09,0.20,-2.07,-1.81
-11.80,6.86,-1.14,0.64,-1.97,-2.17
-11.04,6.27,0.39,1.10,-1.98,-2.50
-10.02,6.68,2.20,1.31,-2.03,-2.78
-9.24,6.22,3.55,1.25,-2.17,-3.07
-8.49,6.05,4.24,1.07,-2.23,-3.38
-7.79,6.47,4.35,0.93,-2.19,-3.70
-6.96,6.38,4.40,0.97,-2.02,-4.10
-5.97,6.73,4.61,1.13,-1.89,-4.44
-4.54,6.22,5.43,1.36,-1.72,-4.69
-3.35,6.20,6.15,1.53,-1.64,-4.75
-2.84,5.91,7.19,1.51,-1.68,-4.69
-2.59,5.72,8.16,1.34,-1.91,-4.75
-2.18,5.75,8.26,1.04,-2.24,-4.94
-1.61,5.03,7.83,0.87,-2.53,-5.23
-0.71,4.92,7.75,0.85,-2.77,-5.48
-0.04,4.65,7.87,0.83,-2.91,-5.55
0.65,4.34,8.33,0.78,-3.00,-5.65
1.61,4.38,8.86,0.65,-3.06,-5.81
2.82,4.49,9.33,0.41,-3.17,-5.94
3.73,4.53,9.40,0.03,-3.33,-5.98
4.26,3.85,8.74,-0.40,-3.50,-5.96
4.41,3.63,7.81,-0.69,-3.62,-5.92
4.75,3.17,6.81,-0.96,-3.58,-5.87
5.22,3.21,6.07,-1.24,-3.39,-5.79
5.97,3.40,5.67,-1.45,-3.06,-5.71
6.53,3.20,5.04,-1.58,-2.64,-5.60
6.90,2.84,4.16,-1.66,-2.25,-5.44
7.16,2.38,3.55,-1.71,-2.07,-5.22
7.14,2.09,3.04,-1.72,-2.16,-5.05
7.35,1.80,2.52,-1.73,-2.42,-4.91
8.21,1.51,1.95,-1.68,-2.65,-4.75
9.32,1.49,2.19,-1.60,-2.71,-4.63
10.39,1.19,1.98,-1.54,-2.61,-4.43
11.14,0.62,1.53,-1.52,-2.34,-4.09
12.07,0.28,1.37,-1.51,-1.95,-3.71
11.80,-0.25,1.01,-1.42,-1.56,-3.35
12.43,-0.09,0.62,-1.26,-1.26,-3.04
12.82,-0.67,1.03,-0.96,-1.23,-2.83
13.04,-0.75,1.21,-0.63,-1.59,-2.79
13.91,-0.84,2.20,-0.49,-2.11,-2.80
14.27,-0.70,2.03,-0.65,-2.50,-2.62
14.34,-0.76,1.28,-1.00,-2.46,-2.26
14.16,-0.59,0.97,-1.11,-2.00,-1.87
14.60,-0.69,1.07,-1.05,-1.61,-1.77
14.98,-0.78,0.75,-0.80,-1.21,-1.73
15.08,-0.77,1.00,-0.61,-1.09,-1.68
14.97,-0.93,0.86,-0.40,-1.14,-1.42
14.75,-0.86,0.91,-0.23,-1.10,-0.96
13.91,-0.81,1.22,-0.24,-0.77,-0.50
13.05,-0.97,1.39,-0.29,-0.40,-0.23
12.54,-1.11,1.53,-0.30,-0.19,-0.23
12.36,-1.24,1.58,-0.17,-0.21,-0.36
12.20,-0.86,1.50,-0.04,-0.33,-0.37
11.84,-0.68,1.63,0.06,-0.52,-0.19
11.47,-0.90,1.69,0.13,-0.74,0.02
11.02,-0.93,2.23,0.16,-0.88,0.05
10.98,-1.06,2.33,0.20,-0.76,-0.05
11.09,-0.63,2.90,0.22,-0.31,-0.11
11.13,-0.38,3.20,0.24,0.23,-0.07
11.54,-0.17,3.21,0.33,0.64,0.04
11.58,0.23,3.15,0.53,0.85,0.28
11.20,-0.04,3.19,0.61,0.80,0.53
10.42,-0.06,3.24,0.57,0.53,0.72
9.76,-0.33,2.91,0.50,0.33,0.74
9.28,-0.29,2.61,0.49,0.23,0.62
9.20,-0.19,2.28,0.56,0.31,0.52
9.05,0.12,2.30,0.70,0.43,0.60
8.66,0.18,2.67,0.81,0.61,0.71
8.37,0.23,2.78,0.91,0.75,0.79
8.36,0.06,2.61,0.90,0.75,0.73
7.60,0.18,3.47,0.99,0.90,0.58
7.43,0.51,3.55,1.05,1.24,0.45
7.31,0.71,3.85,0.98,1.39,0.36
7.23,0.74,4.30,0.96,1.43,0.20
7.18,0.98,4.23,0.98,1.41,0.08
7.31,0.94,5.34,1.02,1.21,-0.07
7.86,1.01,6.51,0.98,0.81,-0.26
8.23,0.92,7.20,0.66,0.33,-0.36
8.08,-0.30,7.22,0.41,-0.25,-0.41
5.74,0.44,4.68,0.30,-1.30,-0.63
10.12,0.65,5.47,0.42,-1.44,-0.95
8.28,3.51,5.01,-0.13,-1.77,-0.57
9.08,1.11,3.21,-0.39,-1.17,-0.06
8.60,0.38,4.26,-0.27,-1.01,-0.03
8.72,0.96,3.62,-0.24,-0.96,-0.06
9.41,0.79,3.60,-0.29,-1.09,-0.04
9.09,0.58,3.85,-0.30,-1.09,-0.09
10.54,0.75,3.27,-0.29,-0.84,-0.18
9.79,0.92,2.88,-0.28,-0.40,-0.20
9.09,0.82,3.01,-0.29,-0.19,-0.12
9.13,0.51,3.31,-0.27,-0.03,-0.03
9.09,0.39,3.54,-0.25,0.02,0.02
9.02,0.20,3.32,-0.22,-0.05,-0.05
8.66,0.22,3.53,-0.17,-0.14,-0.10
9.11,0.39,3.29,-0.13,-0.17,-0.08
8.94,0.49,3.44,-0.11,-0.16,-0.07
8.83,0.28,3.50,-0.08,-0.19,-0.08
8.75,0.17,3.25,-0.05,-0.31,-0.10
10.17,0.14,0.47,-0.05,-0.36,-0.13
8.84,0.78,4.29,-0.16,-0.28,-0.05
9.22,0.33,3.88,-0.09,-0.57,-0.14
9.50,0.69,2.84,-0.03,-0.44,-0.12
9.83,0.71,2.71,-0.03,-0.19,-0.00
9.00,0.46,3.03,-0.03,-0.07,0.00
8.83,0.54,3.31,-0.01,-0.20,-0.03
9.08,0.61,2.83,-0.01,-0.23,-0.04
9.05,0.79,2.81,-0.04,-0.26,-0.04
9.18,0.59,2.96,-0.06,-0.28,-0.04
9.44,0.55,2.79,-0.06,-0.24,-0.04
9.30,0.53,2.87,-0.05,-0.20,-0.03
9.17,0.57,2.80,-0.04,-0.19,-0.02
9.27,0.57,2.86,-0.04,-0.20,-0.03
9.14,0.56,2.90,-0.03,-0.24,-0.04
9.17,0.64,2.79,-0.03,-0.30,-0.06
9.17,0.63,2.71,-0.03,-0.35,-0.07
9.25,0.70,2.54,-0.04,-0.32,-0.06
9.17,0.58,2.79,-0.05,-0.33,-0.05
9.65,0.57,2.72,-0.02,-0.31,-0.05
9.62,0.76,2.24,-0.01,-0.16,-0.01
9.47,0.61,2.40,-0.03,-0.07,0.00
9.62,0.48,2.58,-0.03,-0.04,-0.00
9.32,0.52,2.55,-0.01,-0.03,-0.02
9.17,0.68,2.64,-0.00,-0.08,-0.01
9.11,0.53,2.65,0.01,-0.16,-0.02
9.41,0.63,2.44,0.01,-0.21,-0.03
9.42,0.67,2.36,0.00,-0.18,-0.02
9.52,0.60,2.48,-0.00,-0.14,-0.01
9.64,0.57,2.50,0.01,-0.13,-0.02
9.51,0.60,2.46,0.02,-0.12,-0.04
9.45,0.64,2.38,0.02,-0.14,-0.05
9.49,0.74,2.36,0.02,-0.12,-0.05
9.44,0.71,2.28,0.01,-0.10,-0.04
9.46,0.69,2.32,0.00,-0.09,-0.03
9.49,0.70,2.44,0.00,-0.10,-0.03
9.54,0.75,2.18,-0.01,-0.07,-0.03
9.56,0.68,2.28,-0.01,-0.04,-0.02
9.44,0.70,2.36,-0.01,-0.04,-0.01
9.48,0.68,2.28,-0.02,-0.04,-0.02
9.54,0.74,2.23,-0.03,-0.00,-0.01
9.45,0.70,2.23,-0.03,0.02,0.00
9.49,0.65,2.36,-0.04,0.03,-0.00
9.35,0.63,2.42,-0.04,0.02,-0.01
9.31,0.62,2.41,-0.03,-0.01,-0.01
9.49,0.64,2.39,-0.02,-0.05,-0.02
